Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Shots,SoT,Yellows,Reds,Touches,Press,Tackles,Interceptions,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,Carries,Prog,Succ,Att,Report,Name
Sun,MLS,Regular Season,Home,W 3–1,Atlanta Utd,Sporting KC,Y,CM,90,0,0,0,0,0,0,0,0,56,22,3,1,0,0.0,0.0,0.0,2,0,39,46,84.8,4,37,3,0,2,Match Report,Matheus Rossetto
Sat,MLS,Regular Season,Away,L 0–3,Atlanta Utd,Colorado Rapids,Y,CM,90,0,0,0,0,3,0,0,0,73,13,2,3,1,0.2,0.2,0.0,6,0,52,60,86.7,6,56,7,3,3,Match Report,Matheus Rossetto
Sun,MLS,Regular Season,Home,W 2–1,Atlanta Utd,Charlotte FC,Y,"CM,DM",90,0,0,0,0,3,2,0,0,42,11,1,2,1,0.1,0.1,0.0,1,0,25,30,83.3,4,32,4,2,2,Match Report,Matheus Rossetto
Sat,MLS,Regular Season,Home,D 3–3,Atlanta Utd,CF Montréal,Y,"DM,CM",78,0,0,0,0,1,0,0,0,94,15,0,2,3,0.0,0.0,0.0,0,0,80,87,92.0,8,83,8,0,0,Match Report,Matheus Rossetto
Sat,MLS,Regular Season,Away,W 1–0,Atlanta Utd,D.C. United,Y,DM,45,0,0,0,0,1,1,0,0,31,8,1,0,2,0.1,0.1,0.0,2,0,20,26,76.9,0,20,4,1,1,Match Report,Matheus Rossetto
,,,,,,,,,,Matheus Rossetto
Sat,MLS,Regular Season,Away,L 1–2,Atlanta Utd,CF Montréal,Y,DM,90,0,0,0,0,0,0,0,0,99,18,4,3,1,0.0,0.0,0.0,1,0,83,91,91.2,4,79,11,1,1,Match Report,Matheus Rossetto
Sat,MLS,Regular Season,Home,W 4–1,Atlanta Utd,Chicago Fire,Y,DM,90,0,0,0,0,1,1,0,0,110,12,2,2,1,0.0,0.0,0.0,2,1,95,99,96.0,5,94,2,2,2,Match Report,Matheus Rossetto
Sun,MLS,Regular Season,Home,D 2–2,Atlanta Utd,New England,Y*,DM,84,0,0,0,0,0,0,0,0,81,20,3,0,3,0.0,0.0,0.1,3,1,70,73,95.9,4,63,6,0,0,Match Report,Matheus Rossetto
Sat,MLS,Regular Season,Away,D 2–2,Atlanta Utd,Nashville,Y*,DM,84,0,0,0,0,1,0,0,0,65,16,1,0,1,0.0,0.0,0.0,2,0,52,57,91.2,6,53,5,1,1,Match Report,Matheus Rossetto
